Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.21550981967809,-0.340344569380118,0.224789268166575,0,0,0,6.7386669726753,0.0374723759532097,-1.21760986167806E-17,1.7523347026718E-18,0.11471012710447,1.82421277174694E-18,0.148262403911914,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link.STL,,Quad_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link1,0.0708744638155123,-0.00066611717161702,0.0197891829920333,0,0,0,0.150184104059423,2.61969818535675E-05,4.00655713684365E-06,-3.41353147423397E-07,0.000447294942960443,3.12157506249931E-09,0.00046331168625474,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link1.STL,,Quad_mid-4,Origin_limb1,Axis_limb1,limb1,revolute,0.36551,-0.17534,0.22479,1.5708,1.5289,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
child1,-0.0423421337754569,3.23721888045858E-08,-0.00243980435674557,0,0,0,0.0326105791113412,1.71789785370535E-06,4.93041347085335E-11,-8.31546053527796E-08,3.40028737248651E-05,-4.45808142197675E-12,3.45304858852383E-05,0,0,0,0,0,0,package://quadraped_urdf/meshes/child1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/child1.STL,,Quad_leg-3,Origin_leg1,Axis_leg1,leg1,revolute,0.1615,-0.0015252,0,3.1416,0,-1.6806,base_link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
c1,0,1.66533453693773E-16,0.0025,0,0,0,0.0023090706003885,7.15811886120433E-08,0,-3.44598368043906E-24,7.15811886120433E-08,6.63774731942189E-26,5.65722297095182E-08,0,0,0,0,0,0,package://quadraped_urdf/meshes/c1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/c1.STL,,Quad_foot-3,Origin_w1,Axis_w1,w1,fixed,-0.11024,0,0,3.1416,0,-1.6883,child1,0,0,0,,,,,,,,,,,,
base_link2,0.0708744638155124,-0.00066611717161693,0.0197891829920334,0,0,0,0.150184104059423,2.61969818535675E-05,4.00655713684331E-06,-3.41353147423415E-07,0.000447294942960443,3.12157506250433E-09,0.00046331168625474,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link2.STL,,Quad_mid-1,Origin_limb2,Axis_limb2,limb2,revolute,0.06551,-0.17534,0.22479,-1.5708,1.3877,-3.1416,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
child2,-0.0423421341026917,3.08249994140919E-08,-0.00243980328545562,0,0,0,0.0326105793021524,1.71789761243841E-06,4.80070961770446E-11,-8.31542142482826E-08,3.40028743633875E-05,-4.5154664715856E-12,3.45304862728481E-05,0,0,0,0,0,0,package://quadraped_urdf/meshes/child2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/child2.STL,,Quad_leg-1,Origin_leg2,Axis_leg2,leg2,revolute,0.1615,-0.0015252,0,3.1416,0,-1.5399,base_link2,0,0,1,0,0,-3.14,3.14,,,,,,,,
c2,-6.93889390390723E-18,1.38777878078145E-16,0.00250000000000003,0,0,0,0.0023090706003885,7.15811886120433E-08,-8.27180612553028E-25,-1.66699370238415E-24,7.15811886120433E-08,2.84129320460458E-26,5.65722297095182E-08,0,0,0,0,0,0,package://quadraped_urdf/meshes/c2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/c2.STL,,Quad_foot-1,Origin_w2,Axis_w2,w2,fixed,-0.11024,0,0,3.1416,0,1.2772,child2,0,0,0,,,,,,,,,,,,
base_link3,0.0708744638155124,-0.00066611717161702,-0.0102108170079667,0,0,0,0.150184104059423,2.61969818535675E-05,4.00655713684386E-06,-3.41353147423429E-07,0.000447294942960443,3.12157506250925E-09,0.00046331168625474,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/base_link3.STL,,Quad_mid-5,Origin_limb3,Axis_limb3,limb3,revolute,0.06551,-0.47534,0.22479,1.5708,1.5101,-3.1416,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
child3,-0.0423421379761998,1.37530411781217E-08,0.00756020849189848,0,0,0,0.0326105815981048,1.71789597223259E-06,3.36606727950767E-11,-8.31499215068541E-08,3.40028817328098E-05,-4.79604593391368E-12,3.45304918922E-05,0,0,0,0,0,0,package://quadraped_urdf/meshes/child3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/child3.STL,,Quad_leg-4,Origin_leg3,Axis_leg3,leg3,revolute,0.1615,-0.0015252,-0.02,3.1416,0,1.6152,base_link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
c3,0,2.77555756156289E-17,-0.00750000000000001,0,0,0,0.0023090706003885,7.15811886120436E-08,0,-1.17226931405602E-38,7.15811886120436E-08,-1.36748047209095E-38,5.65722297095183E-08,0,0,0,0,0,0,package://quadraped_urdf/meshes/c3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadraped_urdf/meshes/c3.STL,,Quad_foot-4,Origin_w3,Axis_w3,w3,fixed,-0.11024,0,0,3.1416,0,-1.214,child3,0,0,0,,,,,,,,,,,,
